,,lls_matern,lls_rbf,gp_extra_matern,kriging
2014-05-01 02:00:00,0,15.140421467554708,51.16201296710162,23.84121783189601,16.04519323302317
2014-05-01 03:00:00,0,29.07759889794889,17.03127873936158,20.70044162341981,15.289096053318886
2014-05-01 04:00:00,0,38.56105980508564,21.417529001739723,26.232319520984174,21.271868917539315
2014-05-01 05:00:00,0,52.39516053354257,35.03611786385818,21.38696047093576,22.03608961592217
2014-05-01 06:00:00,0,50.130417649167036,19.315197931217813,19.118182894934662,20.87929623227833
2014-05-01 07:00:00,0,51.862907318877106,30.867756391505363,17.16858971454128,26.900811955074907
2014-05-01 08:00:00,0,48.949525909757206,75.95907775986953,30.70627034183747,29.373853087176172
2014-05-01 09:00:00,0,44.270783716880736,48.706663387983,25.219220227528506,26.0850214701929
2014-05-01 12:00:00,0,49.49367731202156,132.70521834414274,52.88788472721364,48.653599042862474
2014-05-01 13:00:00,0,24.87432754038952,30.976336624456085,20.216477495388208,20.26474640278429
2014-05-01 14:00:00,0,77.96244364685056,67.21553907614178,16.994068217918016,14.668729876075258
2014-05-01 15:00:00,0,76.38774563620169,40.13568626131852,28.1225819074367,19.61108235159881
2014-05-01 16:00:00,0,16.904478716624286,110.67634069187542,20.171193283615697,16.807693723232404
2014-05-01 17:00:00,0,80.99044616567016,88.0473968571886,45.823558240044406,29.27976144775426
2014-05-01 18:00:00,0,52.298622199451664,96.82646581184105,54.68194510221103,34.52192947100705
2014-05-01 19:00:00,0,105.07643180197259,143.02262643864734,70.00795381374228,50.44205377969269
2014-05-01 21:00:00,0,59.059908450085075,95.76298734585711,74.33736413812682,50.70395358463559
2014-05-01 22:00:00,0,51.931264248539286,40.21804026996091,38.416953771130125,20.739810257356567
2014-05-01 23:00:00,0,13.848291790449673,16.37273654798947,21.170193159339323,11.515615557851145
2014-05-02 00:00:00,0,11.860449796355843,9.683156340107692,19.306638769972174,11.15186968767408
